game_name,developer,genre,rating,Outlier_Flag,Rating_Normalized,Rating_Standardized,Rating_Score_100,Rating_Category,Genre_Cleaned,Dev_Avg_Rating,Dev_Game_Count,Dev_Rating_Std,Dev_Min_Rating,Dev_Max_Rating,Developer_Tier,Genre_Popularity_Score,Global_Rank,Rating_Percentile,Data_Snapshot_Date,Data_Snapshot_DateTime
Candy Crush Saga,King,Puzzle,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Puzzle,4.55,2,0.07,4.5,4.6,Indie Developer,13,8,88.12,2026-01-08,2026-01-08 11:48:26
Clash of Clans,Supercell,Strategy,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Strategy,4.48,5,0.04,4.4,4.5,AAA Publisher,17,19,72.28,2026-01-08,2026-01-08 11:48:26
Among Us,InnerSloth,Party,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Others,4.4,1,0.0,4.4,4.4,Indie Developer,1,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Pokémon GO,Niantic,Augmented Reality,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Others,4.3,1,0.0,4.3,4.3,Indie Developer,1,60,32.18,2026-01-08,2026-01-08 11:48:26
PUBG Mobile,Tencent Games,Battle Royale,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Battle Royale,4.2,1,0.0,4.2,4.2,Indie Developer,3,80,14.85,2026-01-08,2026-01-08 11:48:26
Roblox,Roblox Corporation,Sandbox,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Others,4.5,1,0.0,4.5,4.5,Indie Developer,2,19,72.28,2026-01-08,2026-01-08 11:48:26
Fortnite,Epic Games,Battle Royale,4.1,Normal,0.0,-1.7180231490327573,0.0,2. Good (4.0 - 4.4),Battle Royale,4.1,1,0.0,4.1,4.1,Indie Developer,3,95,3.9600000000000004,2026-01-08,2026-01-08 11:48:26
Genshin Impact,miHoYo,Action Rpg,4.7,Normal,0.8571428571428567,1.7523836120134124,85.71,1. Top Rated (≥4.5),Others,4.65,2,0.07,4.6,4.7,Indie Developer,2,5,95.05,2026-01-08,2026-01-08 11:48:26
Call of Duty: Mobile,Activision,Shooter,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Others,4.3,1,0.0,4.3,4.3,Indie Developer,1,60,32.18,2026-01-08,2026-01-08 11:48:26
Subway Surfers,SYBO Games,Endless Runner,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Endless Runner,4.5,1,0.0,4.5,4.5,Indie Developer,4,19,72.28,2026-01-08,2026-01-08 11:48:26
